key,de-DE,en-US,it-IT,es-ES
export.transport.packer.folder,Keine (ganzes Export-Verzeichnis kopieren),None (copy complete export directory),,
export.transport.packer.zip,zip,zip,,
export.transport.packer.tar.gz,tar.gz,tar.gz,,
export.transport.ftp.option.directory,Verzeichnis,Directory,,
export.transport.ftp.option.login,Login,Login,,
export.transport.ftp.option.password,Passwort,Password,,
export.transport.ftp.option.server,Server,Server,,
export.transport.ftp.option.packer,Komprimierung,Compression,,
export.transport.ftp.type|text,FTP,FTP,,
export.transport.ftp.type|icon,fa-caret-square-o-right,fa-caret-square-o-right,,
export.transport.ftp.option.hint.server,"[​ftp://example.com](), [sftp://example.com](), [ftps://example.com]()","[​ftp://example.com](), [sftp://example.com](), [ftps://example.com]()",,
export.transport.ftp.option.hint.directory,Zum Beispiel: /data (optional),For example: /data (optional),,
export.transport.webdav.option.directory,Verzeichnis,Directory,,
export.transport.webdav.option.login,Login,Login,,
export.transport.webdav.option.password,Passwort,Password,,
export.transport.webdav.option.server,Server,Server,,
export.transport.webdav.option.packer,Komprimierung,Compression,,
export.transport.webdav.type|text,WebDAV,WebDAV,,
export.transport.webdav.type|icon,fa-caret-square-o-right,fa-caret-square-o-right,,
export.transport.webdav.option.hint.server,"[http://example.com](), [https://example.com]()","[http://example.com](), [https://example.com]()",,
export.transport.webdav.option.hint.directory,Zum Beispiel: /data (optional),For example: /data (optional),,
export.transport.webdav.option.hint.login,optional,optional,,
export.transport.webdav.option.hint.password,optional,optional,,
